iter	Passed	Remaining
737	19347	6868
738	19373	6842
739	19418	6822
740	19480	6808
741	19528	6790
742	19566	6768
743	19592	6741
744	19620	6715
745	19645	6688
746	19673	6663
747	19701	6637
748	19727	6611
749	19754	6584
750	19779	6558
751	19809	6532
752	19835	6506
753	19864	6480
754	19889	6454
755	19915	6427
756	19943	6401
757	19969	6375
758	19996	6349
759	20022	6322
760	20049	6296
761	20074	6270
762	20100	6243
763	20126	6216
764	20150	6190
765	20177	6163
766	20202	6137
767	20228	6110
768	20256	6084
769	20283	6058
770	20311	6032
771	20338	6006
772	20363	5980
773	20393	5954
774	20422	5929
775	20449	5902
776	20474	5876
777	20503	5850
778	20549	5829
779	20598	5809
780	20651	5790
781	20693	5768
782	20718	5742
783	20745	5715
784	20770	5688
785	20797	5662
786	20824	5636
787	20852	5610
788	20877	5583
789	20902	5556
790	20929	5529
791	20956	5503
792	20983	5477
793	21011	5451
794	21037	5424
795	21063	5398
796	21086	5370
797	21111	5344
798	21136	5317
799	21160	5290
800	21186	5263
801	21223	5239
802	21253	5214
803	21280	5187
804	21305	5160
805	21329	5133
806	21356	5107
807	21381	5080
808	21410	5054
809	21435	5028
810	21462	5001
811	21486	4974
812	21513	4948
813	21539	4921
814	21564	4895
815	21586	4867
816	21611	4840
817	21639	4814
818	21663	4787
819	21693	4762
820	21729	4737
821	21755	4710
822	21783	4684
823	21808	4658
824	21836	4631
825	21861	4605
826	21885	4578
827	21911	4551
828	21938	4525
829	21963	4498
830	21994	4473
831	22021	4446
832	22048	4420
833	22073	4393
834	22099	4367
835	22124	4340
836	22149	4313
837	22179	4287
838	22206	4261
839	22246	4237
840	22275	4211
841	22300	4184
842	22326	4158
843	22350	4131
844	22376	4104
845	22401	4077
846	22426	4051
847	22453	4024
848	22478	3997
849	22504	3971
850	22531	3944
851	22559	3918
852	22585	3892
853	22612	3865
854	22638	3839
855	22665	3812
856	22692	3786
857	22717	3759
858	22742	3732
859	22767	3706
860	22792	3679
861	22819	3653
862	22846	3626
863	22874	3600
864	22899	3573
865	22923	3547
866	22953	3521
867	22978	3494
868	23003	3467
869	23028	3441
870	23054	3414
871	23080	3388
872	23104	3361
873	23128	3334
874	23154	3307
875	23180	3281
876	23221	3256
877	23262	3232
878	23306	3208
879	23349	3183
880	23380	3158
881	23404	3131
882	23436	3105
883	23463	3078
884	23488	3052
885	23513	3025
886	23539	2998
887	23569	2972
888	23594	2946
889	23622	2919
890	23648	2893
891	23673	2866
892	23699	2839
893	23727	2813
894	23751	2786
895	23776	2759
896	23802	2733
897	23827	2706
898	23857	2680
899	23883	2653
900	23909	2627
901	23940	2601
902	23972	2575
903	23998	2548
904	24023	2521
905	24048	2495
906	24075	2468
907	24100	2441
908	24124	2415
909	24149	2388
910	24177	2362
911	24203	2335
912	24229	2308
913	24257	2282
914	24281	2255
915	24307	2229
916	24334	2202
917	24358	2175
918	24384	2149
919	24409	2122
920	24434	2095
921	24464	2069
922	24516	2045
923	24565	2020
924	24613	1995
925	24639	1969
926	24664	1942
927	24691	1915
928	24723	1889
929	24748	1862
930	24775	1836
931	24799	1809
932	24825	1782
933	24852	1756
934	24892	1730
935	24946	1705
936	24997	1680
937	25036	1654
938	25063	1628
939	25089	1601
940	25116	1574
941	25142	1548
942	25168	1521
943	25196	1494
944	25222	1467
945	25249	1441
946	25275	1414
947	25304	1388
948	25330	1361
949	25357	1334
950	25391	1308
951	25423	1281
952	25451	1255
953	25476	1228
954	25502	1201
955	25558	1176
956	25606	1150
957	25664	1125
958	25689	1098
959	25713	1071
960	25739	1044
961	25764	1017
962	25791	990
963	25819	964
964	25845	937
965	25870	910
966	25898	883
967	25923	856
968	25949	830
969	25975	803
970	26001	776
971	26028	749
972	26060	723
973	26084	696
974	26114	669
975	26143	642
976	26170	616
977	26198	589
978	26227	562
979	26256	535
980	26281	509
981	26308	482
982	26355	455
983	26402	429
984	26446	402
985	26490	376
986	26516	349
987	26542	322
988	26567	295
989	26595	268
990	26622	241
991	26647	214
992	26674	188
993	26700	161
994	26726	134
995	26752	107
996	26778	80
997	26809	53
998	26837	26
999	26862	0
